Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,Include Title,Include abstract,Exclude,accept�contents,rq�answers,,
Randomized decision forests for static and dynamic hand shape classification,C. Keskin; F. Kiraç; Y. E. Kara; L. Akarun,"Computer Engineering Department, Boğaziçi University, Istanbul, Turkey; Computer Engineering Department, Boğaziçi University, Istanbul, Turkey; Computer Engineering Department, Boğaziçi University, Istanbul, Turkey; Computer Engineering Department, Boğaziçi University, Istanbul, Turkey",2012 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops,16-Jul-12,2012,,,31,36,"This paper proposes a novel algorithm to perform hand shape classification using depth sensors, without relying on color or temporal information. Hence, the system is independent of lighting conditions and does not need a hand registration step. The proposed method uses randomized classification forests (RDF) to assign class labels to each pixel on a depth image, and the final class label is determined by voting. This method is shown to achieve 97.8% success rate on an American Sign Language (ASL) dataset consisting of 65k images collected from five subjects with a depth sensor. More experiments are conducted on a subset of the ChaLearn Gesture Dataset, consisting of a lexicon with static and dynamic hand shapes. The hands are found using motion cues and cropped using depth information, with a precision rate of 87.88% when there are multiple gestures, and 94.35% when there is a single gesture in the sample. The hand shape classification success rate is 94.74% on a small subset of nine gestures corresponding to a single lexicon. The success rate is 74.3% for the leave-one-subject-out scheme, and 67.14% when training is conducted on an external dataset consisting of the same gestures. The method runs on the CPU in real-time, and is capable of running on the GPU for further increase in speed.",2160-7516,978-1-4673-1612-5,10.1109/CVPRW.2012.6239183,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6239183,,Shape;Training;Sensors;Accuracy;Vegetation;Image segmentation;Decision trees,gesture recognition;image classification;image motion analysis;random processes,randomized decision forests;static hand shape classification;dynamic hand shape classification;depth sensor;RDF;class labels;depth image pixels;voting scheme;American Sign Language dataset;ASL dataset;image collection;ChaLearn Gesture Dataset;lexicon;motion cues;precision rate;hand shape classification success rate;leave-one-subject-out scheme;external dataset;CPU;GPU;hand gestures,,26,,18,IEEE,16-Jul-12,,,IEEE,IEEE Conferences,No,No,Yes,No,,,
Improved Multi-Modal Recognition Interface for Intelligent HCI Based on Speech and the KSSL Recognition,J. -h. Kim; K. -s. Hong,"School of Information and Communication Engineering, Sungkyunkwan University, Suwon, Kyunggi, South Korea; School of Information and Communication Engineering, Sungkyunkwan University, Suwon, Kyunggi, South Korea",2006 IEEE Odyssey - The Speaker and Language Recognition Workshop,20-Nov-06,2006,,,1,6,"Desktop PC and wire communications net-based traditional studies on pattern recognition and multimodal interaction have some restrictions (e.g. limitation of motion, conditionality in space and so on) and general problems according to using of the vision technologies for recognition and representation of the hap tic-gesture information. In this paper, we propose and implement multi-modal recognition interface (hereinafter, MMRI) integrating speech using voice-XML based on WWW and the post wearable PC-based gesture, it have purposes that recognizes and represents the Korean Standard Sign Language (hereinafter, KSSL) which is a dialogue system and interactive elements in the Korean deaf communities. The advantages of our approach are as follows: 1) it improves efficiency of the MMRI input module according to the technology of wireless communication, 2) it shows higher recognition performance than uni-modal recognition system (using gesture or speech), 3) it recognizes and represents continuous sign language of users with flexibility in real time and can offer to user a wider range of personalized and differentiated information using the MMRI more effectively. Experimental results, the MMRI deduces an average recognition rate of 96.1% about significant, dynamic and continuous the KSSL and speech of various users",,1-4244-0472-X,10.1109/ODYSSEY.2006.248108,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4013525,,Speech recognition;Human computer interaction;Pattern recognition;Space technology;Handicapped aids;Wire;World Wide Web;Deafness;Communications technology;Wireless communication,gesture recognition;human computer interaction;natural language interfaces;natural languages;speech recognition;speech-based user interfaces,multimodal recognition interface;MMRI;intelligent HCI;speech recognition;voice-XML;PC-based gesture recognition;Korean Standard Sign Language;KSSL,,,,10,IEEE,20-Nov-06,,,IEEE,IEEE Conferences,No,No,Yes,No,,,
Optimal Sign language recognition employing multi-layer CNN,P. Pranav; R. Katarya,"Dept. of Computer Science Engineering, Delhi Technological University, Delhi, India; Dept. of Computer Science Engineering, Delhi Technological University, Delhi, India","2022 4th International Conference on Advances in Computing, Communication Control and Networking (ICAC3N)",28-Mar-23,2022,,,288,293,"We generally convey our ideas, thoughts, and facts through vocal communication. However, not everyone is gifted with the ability to express oneself. verbally. The deaf and mute populations have a difficult time expressing their thoughts and ideas to others; Sign Language (SL) is their most expressive mode of communication, but the majority of the general population is illiterate in SL; as a result, the mute and deaf have difficulty communicating with the rest of the world. A device that can reliably translate SL gestures to voice and vice versa in real-time is required to overcome this communication barrier. The current solutions are not real-time, have poor recognition accuracy, and need static environmental conditions. Some systems might need additional hardware components, such as expensive sensors, which boost the cost. The current methods allowing silent people to communicate their thoughts to others may be divided into two categories: systems based on computer vision and systems based on electrical sensors, each with its own set of benefits and drawbacks. In comparison to previous state-of-the-art approaches, we offer a Convolution neural network (CNN) based SLR system with many layers that gives great accuracy of 99.89%. Overall, we believe the study will serve as road map for future research in the domain of SLR.",,978-1-6654-7436-8,10.1109/ICAC3N56670.2022.10074397,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10074397,Convolution Neural Network(CNN);Deep Learning(DL);Sign Language;Support Vector Machine(SVM),Support vector machines;Convolution;Sociology;Neural networks;Gesture recognition;Assistive technologies;Sensor systems,,,,,,24,IEEE,28-Mar-23,,,IEEE,IEEE Conferences,No,No,Yes,No,,,
Robust ASL Fingerspelling Recognition Using Local Binary Patterns and Geometric Features,C. S. Weerasekera; M. H. Jaward; N. Kamrani,"Department of Electrical and Computer Systems Engineering, Monash University Sunway Campus, Malaysia; Department of Electrical and Computer Systems Engineering, Monash University Sunway Campus, Malaysia; Department of Electrical and Computer Systems Engineering, Monash University Sunway Campus, Malaysia",2013 International Conference on Digital Image Computing: Techniques and Applications (DICTA),23-Dec-13,2013,,,1,8,"Sign language recognition using computer vision techniques enables machines to function as interpreters of sign language while eliminating the need for cumbersome data gloves. In this paper, a robust approach for recognition of bare-handed static sign language is presented, using a novel combination of features. These include Local Binary Patterns (LBP) histogram features based on color and depth information, and also geometric features of the hand. Linear binary Support Vector Machine (SVM) classifiers are used for recognition, coupled with template matching in the case of multiple matches. An accurate hand segmentation scheme using the Kinect depth sensor is also presented. The resulting sign language recognition system could be employed in many practical scenarios and works in complex environments in real-time. It is also shown to be robust to changes in distance between the user and camera and can handle possible variations in fingerspelling among different users. The algorithm is tested on two ASL fingerspelling datasets where overall classification rates over 90% are observed.",,978-1-4799-2126-3,10.1109/DICTA.2013.6691521,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6691521,,Histograms;Image color analysis;Image edge detection;Feature extraction;Cameras;Vectors;Color,computer vision;data gloves;image classification;image colour analysis;image matching;image segmentation;image sensors;sign language recognition;support vector machines,ASL fingerspelling recognition;geometric features;computer vision techniques;sign language interpreters;data gloves;bare-handed static sign language recognition;local binary patterns histogram features;LBP histogram features;color information;depth information;linear binary support vector machine classifier;SVM classifiers;template matching;hand segmentation scheme;Kinect depth sensor,,7,,16,IEEE,23-Dec-13,,,IEEE,IEEE Conferences,No,No,Yes,No,,,
Real time hand pose estimation using depth sensors,C. Keskin; F. Kıraç; Y. E. Kara; L. Akarun,"Computer Engineering Department, Bogazici University, Istanbul, Turkey; Computer Engineering Department, Bogazici University, Istanbul, Turkey; Computer Engineering Department, Bogazici University, Istanbul, Turkey; Computer Engineering Department, Bogazici University, Istanbul, Turkey",2011 IEEE International Conference on Computer Vision Workshops (ICCV Workshops),16-Jan-12,2011,,,1228,1234,"This paper describes a depth image based real-time skeleton fitting algorithm for the hand, using an object recognition by parts approach, and the use of this hand modeler in an American Sign Language (ASL) digit recognition application. In particular, we created a realistic 3D hand model that represents the hand with 21 different parts. Random decision forests (RDF) are trained on synthetic depth images generated by animating the hand model, which are then used to perform per pixel classification and assign each pixel to a hand part. The classification results are fed into a local mode finding algorithm to estimate the joint locations for the hand skeleton. The system can process depth images retrieved from Kinect in real-time at 30 fps. As an application of the system, we also describe a support vector machine (SVM) based recognition module for the ten digits of ASL based on our method, which attains a recognition rate of 99.9% on live depth images in real-time1.",,978-1-4673-0063-6,10.1109/ICCVW.2011.6130391,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6130391,,Joints;Training;Vegetation;Three dimensional displays;Estimation;Accuracy,image classification;object recognition;pose estimation;support vector machines,real time hand pose estimation;depth sensors;real-time skeleton fitting;object recognition;American sign language digit recognition;3D hand model;random decision forests;synthetic depth images;per pixel classification;Kinect;support vector machine;SVM based recognition module,,132,4,19,IEEE,16-Jan-12,,,IEEE,IEEE Conferences,No,No,Yes,No,,,
Real-time facial expression recognition based on features' positions and dimensions,H. Sako; A. V. W. Smith,"Hitachi Central Research Laboratory Limited, Kokubunji, Tokyo, Japan; Research & Development Centre, Dublin Laboratory (HDL), O'Reilly Institute, Trinity College, Hitachi Europe Limited, Dublin, Ireland",Proceedings of 13th International Conference on Pattern Recognition,06-Aug-02,1996,3,,643,648 vol.3,"This paper describes a method of real-time facial expression recognition which is based on automatic measurement of the facial features' dimension and the positional relationship between them. The method is composed of two parts, the facial feature extraction using matching techniques and the facial expression recognition using statistics of position and dimension of the features. The method is implemented in an experimental hardware system and the performance is evaluated. The extraction rates of the facial-area, the mouth and the eyes are about 100%, 96% and 90%, respectively, and the recognition rates of facial expression such as normal, angry, surprise, smile and sad expression are 54%, 89%, 86%, 53% and 71%, respectively, for a specific person. The whole processing speed is about 15 frames/second. Finally, we touch on some applications such as man-machine interface, automatic generation of facial graphic animation and sign language translation using facial expression recognition techniques.",1051-4651,0-8186-7282-X,10.1109/ICPR.1996.547025,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=547025,,Face recognition;Facial features;Position measurement;Statistics;Hardware;Mouth;Eyes;User interfaces;Graphics;Facial animation,computer vision,real-time systems;facial expression recognition;feature positions;feature dimensions;facial feature extraction;image matching;statistical analysis;computer vision;colour matching,,8,2,12,IEEE,06-Aug-02,,,IEEE,IEEE Conferences,No,No,Yes,No,,,
Incorporating On-demand Stereo for Real Time Recognition,T. Deselaers; A. Criminisi; J. Winn; A. Agarwal,"Human Language Technology and Pattern Recognition, RWTH Aachen University of Technology, Germany; Microsoft Research Limited, Cambridge, UK; Microsoft Research Limited, Cambridge, UK; Microsoft Research Limited, Cambridge, UK",2007 IEEE Conference on Computer Vision and Pattern Recognition,16-Jul-07,2007,,,1,8,"A new method for localising and recognising hand poses and objects in real-time is presented. This problem is important in vision-driven applications where it is natural for a user to combine hand gestures and real objects when interacting with a machine. Examples include using a real eraser to remove words from a document displayed on an electronic surface. In this paper the task of simultaneously recognising object classes, hand gestures and detecting touch events is cast as a single classification problem. A random forest algorithm is employed which adaptively selects and combines a minimal set of appearance, shape and stereo features to achieve maximum class discrimination for a given image. This minimal set leads to both efficiency at run time and good generalisation. Unlike previous stereo works which explicitly construct disparity maps, here the stereo matching costs are used directly as visual cue and only computed on-demand, i.e. only for pixels where they are necessary for recognition. This leads to improved efficiency. The proposed method is assessed on a database of a variety of objects and hand poses selected for interacting on a flat surface in an office environment.",1063-6919,1-4244-1179-3,10.1109/CVPR.2007.383136,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4270161,,Object detection;Pattern recognition;Shape;Cameras;Humans;Event detection;Costs;Visual databases;Hardware;Object recognition,image classification;image matching;stereo image processing,on-demand stereo;real time recognition;vision-driven applications;hand gestures;real objects;real eraser;image classification;random forest algorithm;disparity maps;stereo matching,,15,1,24,IEEE,16-Jul-07,,,IEEE,IEEE Conferences,No,No,Yes,No,,,
VECAR: Virtual English Classroom with Markerless Augmented Reality and Intuitive Gesture Interaction,M. -T. Yang; W. -C. Liao; Y. -C. Shih,"NDHU, Hualien, Taiwan; NDHU, Hualien, Taiwan; NDHU, Hualien, Taiwan",2013 IEEE 13th International Conference on Advanced Learning Technologies,19-Sep-13,2013,,,439,440,"Augmented Reality (AR) is a technology that merges virtual objects with real-world images seamlessly. The power of real-time interaction and complete immersion makes AR ideal for language learning in that the exposure and motivation are two important factors. Therefore, we propose a Virtual English Classroom empowered with marker less AR technologies and 3D gesture interactions, called VECAR. The proposed vision-based interface is intuitive and convenient for users to play around with free hands, without the need of keyboard and mouse. The objective of VECAR is to make English teaching more interesting to increase learners' motivations.",2161-377X,978-0-7695-5009-1,10.1109/ICALT.2013.134,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6601976,English Teaching;Markerless Augmented Reality;3D Gesture Interaction,Three-dimensional displays;Augmented reality;Education;Thumb;Cameras;Keyboards,augmented reality;computer aided instruction;gesture recognition;teaching,VECAR;virtual english classroom;markerless augmented reality;intuitive gesture interaction;AR;language learning;exposure factor;motivation factor;3D gesture interaction;vision-based interface;English teaching;learner motivation,,4,,6,IEEE,19-Sep-13,,,IEEE,IEEE Conferences,No,No,Yes,No,,,
Bringing the Wiki Collaboration Model to the Tabletop World,S. Baraldi; A. D. Bimbo; A. Valli,"Dipartimento di Sistemi e Informatica, Università degli Studi di Firenze, Italy; Dipartimento di Sistemi e Informatica, Università degli Studi di Firenze, Italy; Dipartimento di Sistemi e Informatica, Università degli Studi di Firenze, Italy",2006 IEEE International Conference on Multimedia and Expo,26-Dec-06,2006,,,333,336,"We present an interactive workspace that integrates wiki collaboration in knowledge-building activities with face-to-face scenarios like brainstorming or problem solving sessions. A wiki serves as the repository for knowledge elements, which are presented to co-located users in form of a concept map projected on a table. A computer vision module tracks multiple hands and fingers on the table surface and map elements can be manipulated using a simple gesture language. Also smart devices, like PDAs or tablets, can be connected to the system and participate in the interaction with their local input. The concept map and the wiki are synchronized in real-time, providing notifications to both co-located and distributed users and allowing a community shared awareness that enhances and enriches the knowledge building experience",1945-788X,1-4244-0367-7,10.1109/ICME.2006.262466,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4036604,,Collaboration;Collaborative work;Collaborative software;Problem-solving;Computer vision;Personal digital assistants;Buildings;Collaborative tools;Displays;Knowledge management,computer vision;gesture recognition;interactive systems;Internet;user interfaces,wiki collaboration model;tabletop world;interactive workspace;knowledge-building activity;face-to-face scenario;computer vision module;gesture language;smart device,,1,,12,IEEE,26-Dec-06,,,IEEE,IEEE Conferences,No,No,Yes,No,,,
Unravelling of Convolutional Neural Networks through Bharatanatyam Mudra Classification with Limited Data,A. P. Parameshwaran; H. P. Desai; M. Weeks; R. Sunderraman,"Department of Computer Science, Georgia State University (GSU), Atlanta, Georgia; Department of Computer Science, Georgia State University (GSU), Atlanta, Georgia; Department of Computer Science, Georgia State University (GSU), Atlanta, Georgia; Department of Computer Science, Georgia State University (GSU), Atlanta, Georgia",2020 10th Annual Computing and Communication Workshop and Conference (CCWC),12-Mar-20,2020,,,342,347,"Non-verbal forms of communication are universal, being free of any language barrier and widely used in all art forms. For example, in Bharatanatyam, an ancient Indian dance form, artists use different hand gestures, body postures and facial expressions to convey the story line. As identification and classification of these complex and multivariant visual images are difficult, it is now being addressed with the help of advanced computer vision techniques and deep neural networks. This work deals with studies in automation of identification, classification and labelling of selected Bharatnatyam gestures, as part of our efforts to preserve this rich cultural heritage for future generations. The classification of the mudras against their true labels was carried out using different singular pre-trained / non-pre-trained as well as stacked ensemble convolutional neural architectures (CNNs). In all, twenty-seven classes of asamyukta hasta (single hand gestures) data were collected from Google, YouTube and few real time performances by artists. Since the background in many frames are highly diverse, the acquired data is real and dynamic, compared to images from closed laboratory settings. The cleansing of mislabeled data from the dataset was done through label transferring based on distance-based similarity metric using convolutional siamese neural network. The classification of mudras was done using different CNN architecture: i) singular models, ii) ensemble models, and iii) few specialized models. This study achieved an accuracy of >95%, both in single and double transfer learning models, as well as their stacked ensemble model. The results emphasize the crucial role of domain similarity of the pre-training / training datasets for improved classification accuracy and, also indicate that doubly pre-trained CNN model yield the highest accuracy.",,978-1-7281-3783-4,10.1109/CCWC47524.2020.9031185,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9031185,Bharatanatyam;Convolutional Neural Networks;Hand Gestures;Convolutional Siamese Neural Network;Ensemble Models;Asamyukta Hastas,Feature extraction;Task analysis;Image edge detection;YouTube;Visualization;Lead,computer vision;convolutional neural nets;data acquisition;face recognition;gesture recognition;humanities;image classification;learning (artificial intelligence);neural net architecture,convolutional siamese neural network;CNN architecture;Bharatnatyam gestures;distance-based similarity metric;mislabeled data;stacked ensemble convolutional neural architectures;cultural heritage;deep neural networks;computer vision techniques;multivariant visual images;story line;facial expressions;body postures;hand gestures;ancient Indian dance form;art forms;Bharatanatyam mudra classification;double transfer learning models;single transfer learning models,,3,,25,IEEE,12-Mar-20,,,IEEE,IEEE Conferences,No,No,Yes,No,,,
An Adaptive Real-time Gesture Detection Method Using EMG and IMU Series for Robot Control,X. Zhao; Y. Ma; J. Huang; J. Zheng; Y. Dong,"Institute of Computer Applied Technology of China Weapon Industry, Beijing, China; Institute of Computer Applied Technology of China Weapon Industry, Beijing, China; Institute of Computer Applied Technology of China Weapon Industry, Beijing, China; Institute of Computer Applied Technology of China Weapon Industry, Beijing, China; Institute of Computer Applied Technology of China Weapon Industry, Beijing, China",2021 IEEE International Conference on Unmanned Systems (ICUS),22-Dec-21,2021,,,539,547,"With the development of technology, people constantly put forward new requirements to the level and quality of human-computer interaction. In view of the intuitive and natural characteristics of sign language, gesture has become an important means of human-computer interaction. Therefore, a dynamic gesture recognition system which could adaptively recognize multiple gestures is the main development trend of gesture recognition system in the future. Though vision based dynamic gesture recognition system has always been one of the hotspots in the current scientific research field, its vulnerability to interference of light and obstacles is still a significate weakness that need to be overcome before utilizing in the real scenario. On this account, the current research constructs an actual time gesture recognition system fusing the physiological signal including Inertial Measurement Unit (IMU) and Electromyography (EMG), combined with adaptability design through self-adjusting threshold. Together, by evaluating experiment in 5 days, the adaptive classifier successfully identified 91.95% of 360 gestures with the latency of 10.89 ms, and the robots correctly responded to 88.61% of gestures in control dictionary.",,978-1-6654-3885-8,10.1109/ICUS52573.2021.9641278,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9641278,Gestsure Recognition;EMG;IMU;Muscle-Computer-Interfaces,Human computer interaction;Adaptive systems;Robot control;Redundancy;Gesture recognition;Assistive technologies;Electromyography,adaptive signal processing;electromyography;gesture recognition;human computer interaction;human-robot interaction;image fusion;mobile robots;sensor fusion;signal classification,human-computer interaction;EMG;adaptability design;adaptive classifier;IMU series;adaptive real-time gesture detection;self-adjusting threshold;physiological signal fusion;inertial measurement unit;electromyography;robot control;control dictionary,,3,,17,IEEE,22-Dec-21,,,IEEE,IEEE Conferences,No,No,Yes,No,,,
3D hand pose estimation and classification using depth sensors,C. Keskin; F. Kıraç; Y. E. Kara; L. Akarun,"Bilgisayar Mühendisliği Bölümü, Boğaziçi Üniversitesi, Istanbul, Turkey; Bilgisayar Mühendisliği Bölümü, Boğaziçi Üniversitesi, Istanbul, Turkey; Bilgisayar Mühendisliği Bölümü, Boğaziçi Üniversitesi, Istanbul, Turkey; Bilgisayar Mühendisliği Bölümü, Boğaziçi Üniversitesi, Istanbul, Turkey",2012 20th Signal Processing and Communications Applications Conference (SIU),28-May-12,2012,,,1,4,"This paper describes our method to fit a 3D skeleton to the human hand using depth images. The human hand is represented by a 3D skeleton with 21 parts. This model is used to generate synthetic depth images, that are used to train Random Decision Forests (RDF), which are used to assign each pixel to a hand part. Mean-shift method is used on the classification results and joint locations are estimated. The system can run in real time at 30 fps on Kinect depth images. We use this method and Support Vector Machines for classification and obtain 99.9% recognition rate on the American Sign Language (ASL) digit recognition problem.",2165-0608,978-1-4673-0056-8,10.1109/SIU.2012.6204611,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6204611,,Three dimensional displays;Estimation;Real time systems;Pattern recognition;Computer vision;Conferences;Resource description framework,pose estimation;spatial variables measurement;support vector machines,3D hand pose estimation;3D hand pose classification;depth sensors;3D skeleton;human hand;synthetic depth images;random decision forests;mean-shift method;support vector machines;American Sign Language;ASL digit recognition problem,,2,,11,IEEE,28-May-12,,,IEEE,IEEE Conferences,No,No,Yes,No,,,
Unity based Urban Environment Simulation for Autonomous Vehicle Stereo Vision Evaluation,M. Vukić; B. Grgić; D. Dinčir; L. Kostelac; I. Marković,"Faculty of Electrical Engineering and Computin Unska 3, University of Zagreb, Zagreb, Croatia; Faculty of Electrical Engineering and Computin Unska 3, University of Zagreb, Zagreb, Croatia; Faculty of Electrical Engineering and Computin Unska 3, University of Zagreb, Zagreb, Croatia; Faculty of Electrical Engineering and Computin Unska 3, University of Zagreb, Zagreb, Croatia; Faculty of Electrical Engineering and Computin Unska 3, University of Zagreb, Zagreb, Croatia","2019 42nd International Convention on Information and Communication Technology, Electronics and Microelectronics (MIPRO)",11-Jul-19,2019,,,949,954,"Testing and evaluation of sensor processing algorithms for autonomous vehicles is challenging due to the problem of collecting reference data. To ensure safety and robustness, many man-hours need to be spent in collecting and preparing such data. One solution to alleviate this problem is to use computer simulations. Computer simulations can model a real system with all its static and dynamic characteristics. This approach provides efficiency and precision when collecting data and reduces testing time. The aim of this paper is development of a simulation environment based on Unity where it would be possible to test sensors and algorithms for autonomous vehicles and show deviations from reference data. The proposed simulation model contains typical city objects and participants: roads, sidewalks, buildings, pedestrians, traffic signs and vehicles. In this paper we simulate motion and sensors from a single vehicle equipped with a stereo camera setup. The program environment Unity is used for designing the simulation, and behavioral scripts are executed with C# programming language. To showcase the testing of applicable algorithms, OpenCV class for computing stereo correspondence, using the semi-global block matching algorithm, is used on simulated stereo images and we discuss future development of the simulation.",2623-8764,978-953-233-098-4,10.23919/MIPRO.2019.8756805,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8756805,Autonomous Vehicles;Urban Scenario Simulation;Stereo Vision,Cameras;Autonomous vehicles;Lighting;Computational modeling;Testing;Urban areas;Robot sensing systems,C# language;cameras;computer simulation;image matching;image sensors;mobile robots;road vehicles;robot vision;stereo image processing;traffic engineering computing,urban environment simulation;autonomous vehicle stereo vision evaluation;sensor processing algorithms;computer simulations;static characteristics;dynamic characteristics;stereo camera setup;stereo correspondence;semiglobal block matching algorithm;stereo images;Unity;C# programming language;OpenCV class,,3,,22,,11-Jul-19,,,IEEE,IEEE Conferences,No,No,Yes,No,,,
A visual computing environment for very large scale biomolecular modeling,M. Zeller; J. C. Phillips; A. Dalke; W. Humphrey; K. Schulten; R. Sharma; T. S. Huang; V. I. Pavlovic; Y. Zhao; Z. Lo; S. Chu,"Backman Institute for Advanced Science and Technology, University of Illinois, Urbana-Champaign, Urbana, IL, USA; Backman Institute for Advanced Science and Technology, University of Illinois, Urbana-Champaign, Urbana, IL, USA; Backman Institute for Advanced Science and Technology, University of Illinois, Urbana-Champaign, Urbana, IL, USA; Backman Institute for Advanced Science and Technology, University of Illinois, Urbana-Champaign, Urbana, IL, USA; Backman Institute for Advanced Science and Technology, University of Illinois, Urbana-Champaign, Urbana, IL, USA; Backman Institute for Advanced Science and Technology, University of Illinois, Urbana-Champaign, Urbana, IL, USA; Backman Institute for Advanced Science and Technology, University of Illinois, Urbana-Champaign, Urbana, IL, USA; Backman Institute for Advanced Science and Technology, University of Illinois, Urbana-Champaign, Urbana, IL, USA; Backman Institute for Advanced Science and Technology, University of Illinois, Urbana-Champaign, Urbana, IL, USA; Backman Institute for Advanced Science and Technology, University of Illinois, Urbana-Champaign, Urbana, IL, USA; Backman Institute for Advanced Science and Technology, University of Illinois, Urbana-Champaign, Urbana, IL, USA","Proceedings IEEE International Conference on Application-Specific Systems, Architectures and Processors",06-Aug-02,1997,,,3,12,"Knowledge of the complex molecular structures of living cells is being accumulated at a tremendous rate. Key technologies enabling this success have been, high performance computing and powerful molecular graphics applications, but the technology is beginning to seriously lag behind challenges posed by the size and number of new structures and by the emerging opportunities in drug design and genetic engineering. A visual computing environment is being developed which permits interactive modeling of biopolymers by linking a 3D molecular graphics program with an efficient molecular dynamics simulation program executed on remote high-performance parallel computers. The system will be ideally suited for distributed computing environments, by utilizing both local 3D graphics facilities and the peak capacity of high-performance computers for the purpose of interactive biomolecular modeling. To create an interactive 3D environment three input methods will be explored: (1) a six degree of freedom ""mouse"" for controlling the space shared by the model and the user; (2) voice commands monitored through a microphone and recognized by a speech recognition interface; (3) hand gestures, detected through cameras and interpreted using computer vision techniques. Controlling 3D graphics connected to real time simulations and the use of voice with suitable language semantics, as well as hand gestures, promise great benefits for many types of problem solving environments. Our focus on structural biology takes advantage of existing sophisticated software, provides concrete objectives, defines a well-posed domain of tasks and offers a well-developed vocabulary for spoken communication.",2160-0511,0-8186-7959-X,10.1109/ASAP.1997.606807,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=606807,,Large-scale systems;Computer graphics;Pharmaceutical technology;Concurrent computing;Computational modeling;Distributed computing;Speech recognition;High performance computing;Drugs;Genetic engineering,computer vision;speech recognition;problem solving;data visualisation;programming environments;interactive programming;medical computing,visual computing environment;very large scale biomolecular modeling;living cells;complex molecular structures;high performance computing;molecular graphics;drug design;genetic engineering;interactive modeling;biopolymers;3D molecular graphics program;molecular dynamics simulation program;remote high-performance parallel computers;distributed computing environments;3D graphics;six degree of freedom;voice commands;microphone;speech recognition interface;hand gestures;computer vision;real time simulations,,11,1,12,IEEE,06-Aug-02,,,IEEE,IEEE Conferences,No,No,Yes,No,,,
Hand posture recognition using K-NN and Support Vector Machine classifiers evaluated on our proposed HandReader dataset,G. Tofighi; A. N. Venetsanopoulos; K. Raahemifar; S. Beheshti; H. Mohammadi,"Department of Electrical and Computer Engineering, Ryerson University, Toronto, Canada; Department of Electrical and Computer Engineering, Ryerson University, Toronto, Canada; Department of Electrical and Computer Engineering, Ryerson University, Toronto, Canada; Department of Electrical and Computer Engineering, Ryerson University, Toronto, Canada; Department of Electrical and Computer Engineering, Ryerson University, Toronto, Canada",2013 18th International Conference on Digital Signal Processing (DSP),10-Oct-13,2013,,,1,5,"In this paper, we propose a real-time vision-based hand posture recognition approach, based on appearance-based features of the hand poses. Our approach has three main steps: Preprocessing, Feature Extraction and Posture Recognition. Additionally, a new hand posture dataset called HandReader is created and introduced. HandReader is a dataset of 500 images of 10 different hand postures which are 10 non-motion-based American Sign Language alphabets with dark backgrounds. The dataset is gathered by capturing images of 50 male and female individuals performing these 10 hand postures in front of a common camera. 20% of the HandReader images are used for the training purpose and the remaining 80% are used to test the proposed methodology. All the images are normalized after applying the preprocessing step. The normalized images are then converted to feature vectors in the Feature Extraction step. In order to train the system, k-NN classifier and SVM classifiers with linear and RBF kernel have been employed and results were compared. These approaches were used to classify hand posture images into 10 different posture classes. The SVM classifier with linear kernel performed better with the highest true detection rate (96%) among other proposed techniques.",2165-3577,978-1-4673-5807-1,10.1109/ICDSP.2013.6622679,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6622679,Hand posture recognition;Human computer interaction;Virtual environment;Shape recognition;HandReader dataset;k-NN;SVM,Computers;Support vector machine classification;Robots,feature extraction;image classification;pose estimation;support vector machines,support vector machine classifiers;HandReader dataset;real time vision based hand posture recognition;appearance based features;hand poses;feature extraction;posture dataset;HandReader images;k-NN classifier;SVM classifiers;RBF kernel;hand posture image classification;posture classes;true detection rate,,6,1,13,IEEE,10-Oct-13,,,IEEE,IEEE Conferences,No,No,Yes,No,,,
